trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'e': 0.98287596668427235, 'a': 0.5}",20,0,-104.30655641166051,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
57,False,"{'e': 0.98129349004564548, 'a': 0.5}",20,0,-123.71578168577581,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
58,False,"{'e': 0.97956781268594706, 'a': 0.5}",20,0,-157.14737596839925,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
59,False,"{'e': 0.97768656130096765, 'a': 0.5}",35,0,-122.14236418374013,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
60,False,"{'e': 0.97563640568472221, 'a': 0.5}",20,0,-108.04999066480494,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
61,False,"{'e': 0.97340300642313404, 'a': 0.5}",30,18,-54.399827787102176,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
62,False,"{'e': 0.97097096416365924, 'a': 0.5}",25,8,-129.6739141844811,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 3}",1
63,False,"{'e': 0.96832377162094363, 'a': 0.5}",20,0,-110.45121137020325,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
64,False,"{'e': 0.96544376971372359, 'a': 0.5}",20,4,-121.69769024565574,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 2}",1
65,False,"{'e': 0.96231210949139412, 'a': 0.5}",30,0,-273.21518404395425,"{0: 13, 1: 6, 2: 5, 3: 2, 4: 4}",0
66,False,"{'e': 0.95890872179953501, 'a': 0.5}",35,0,-117.14257419227862,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
67,False,"{'e': 0.95521229695021315, 'a': 0.5}",25,0,-90.61678323395738,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
68,False,"{'e': 0.95120027700120002, 'a': 0.5}",25,0,-234.29093126516435,"{0: 13, 1: 1, 2: 4, 3: 4, 4: 3}",0
69,False,"{'e': 0.94684886360193621, 'a': 0.5}",20,0,-108.86817098819496,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
